2024-05-06 02:12:09.770 [background-preinit] INFO  --- o.h.validator.internal.util.Version     :   HV000001: Hibernate Validator 8.0.1.Final
2024-05-06 02:14:07.494 [main] INFO  --- o.s.t.c.s.AnnotationConfigContextLoaderUtils     :   Could not detect default configuration classes for test class [com.himanshu.departmentalStore.integration_test.BackorderIntegrationTest]: BackorderIntegrationTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-05-06 02:14:08.047 [main] INFO  --- o.s.b.t.c.SpringBootTestContextBootstrapper     :   Found @SpringBootConfiguration com.himanshu.departmentalStore.DepartmentalStoreApplication for test class com.himanshu.departmentalStore.integration_test.BackorderIntegrationTest
2024-05-06 02:14:08.656 [main] INFO  --- o.testcontainers.images.PullPolicy     :   Image pull policy will be performed by: DefaultPullPolicy()
2024-05-06 02:14:08.667 [main] INFO  --- o.t.utility.ImageNameSubstitutor     :   Image name substitution will be performed by: DefaultImageNameSubstitutor (composite of 'ConfigurationFileImageNameSubstitutor' and 'PrefixingImageNameSubstitutor')
2024-05-06 02:14:10.098 [main] INFO  --- o.t.d.DockerClientProviderStrategy     :   Loaded org.testcontainers.dockerclient.NpipeSocketClientProviderStrategy from ~/.testcontainers.properties, will try it first
2024-05-06 02:14:11.478 [main] INFO  --- o.t.d.DockerClientProviderStrategy     :   Found Docker environment with local Npipe socket (npipe:////./pipe/docker_engine)
2024-05-06 02:14:11.484 [main] INFO  --- o.testcontainers.DockerClientFactory     :   Docker host IP address is localhost
2024-05-06 02:14:11.537 [main] INFO  --- o.testcontainers.DockerClientFactory     :   Connected to docker: 
  Server Version: 26.0.0
  API Version: 1.45
  Operating System: Docker Desktop
  Total Memory: 7882 MB
2024-05-06 02:14:11.628 [main] INFO  --- tc.testcontainers/ryuk:0.6.0     :   Creating container for image: testcontainers/ryuk:0.6.0
2024-05-06 02:14:13.087 [main] INFO  --- tc.testcontainers/ryuk:0.6.0     :   Container testcontainers/ryuk:0.6.0 is starting: e859cd685605afc23a374d14f4586b9a73bbe8e65c0e0f00c2792ce3ffa2772e
2024-05-06 02:14:14.017 [main] INFO  --- tc.testcontainers/ryuk:0.6.0     :   Container testcontainers/ryuk:0.6.0 started in PT2.3888925S
2024-05-06 02:14:14.073 [main] INFO  --- o.t.utility.RyukResourceReaper     :   Ryuk started - will monitor and terminate Testcontainers containers on JVM exit
2024-05-06 02:14:14.074 [main] INFO  --- o.testcontainers.DockerClientFactory     :   Checking the system...
2024-05-06 02:14:14.076 [main] INFO  --- o.testcontainers.DockerClientFactory     :   ✔︎ Docker server version should be at least 1.6.0
2024-05-06 02:14:14.089 [main] INFO  --- tc.mysql:latest     :   Creating container for image: mysql:latest
2024-05-06 02:14:14.520 [main] INFO  --- tc.mysql:latest     :   Container mysql:latest is starting: f191f0d1c9645615f727b36f2a3a880b0733eda0d82d01173553206324f95c9a
2024-05-06 02:14:15.152 [main] INFO  --- tc.mysql:latest     :   Waiting for database connection to become available at jdbc:mysql://localhost:60664/test using query 'SELECT 1'
2024-05-06 02:14:50.481 [main] INFO  --- tc.mysql:latest     :   Container mysql:latest started in PT36.3922454S
2024-05-06 02:14:50.482 [main] INFO  --- tc.mysql:latest     :   Container is started (JDBC URL: jdbc:mysql://localhost:60664/test)
